Date,Campaign,Ad Group,Sector,Country,Impressions,Clicks,Cost,Conversions,Conv. value
2024-01-11,ROKETSAN_Search,Competitor,Defense,USA,97075,1707,2453.27,376,55461.81
2024-01-12,ROKETSAN_Search,Competitor,Defense,Germany,17872,1710,725.91,125,29815.93
2024-01-13,ROKETSAN_Search,Competitor,Defense,UK,26031,2794,569.66,43,1564.35
2024-01-14,ROKETSAN_Search,Competitor,Defense,Germany,65850,2143,1978.1,210,8491.83
2024-01-15,ROKETSAN_Search,Competitor,Defense,France,56305,3618,2041.98,477,47187.65
2024-01-16,ROKETSAN_Search,Competitor,Defense,USA,2743,221,2153.1,18,4449.49
2024-01-17,ROKETSAN_Search,Competitor,Defense,France,67707,2938,319.32,52,2842.1
2024-01-18,ROKETSAN_Search,Competitor,Defense,Germany,64372,5384,88.66,1086,39953.7
2024-01-19,ROKETSAN_Search,Competitor,Defense,UK,139910,3804,1876.88,975,122715.38
2024-01-20,ROKETSAN_Search,Competitor,Defense,Germany,136542,19533,317.18,4127,308900.57
2024-01-21,ROKETSAN_Search,Competitor,Defense,France,13367,1569,1968.91,533,49498.02
2024-01-22,ROKETSAN_Search,Competitor,Defense,Turkey,17945,2041,2125.88,436,78206.16
2024-01-23,ROKETSAN_Search,Competitor,Defense,UK,118277,2488,2253.2,329,53254.22
2024-01-24,ROKETSAN_Search,Competitor,Defense,Turkey,35080,2332,1579.58,599,88879.74
2024-01-25,ROKETSAN_Search,Competitor,Defense,Germany,101851,9867,1349.86,1858,257795.63
2024-01-26,ROKETSAN_Search,Competitor,Defense,UK,27999,1017,2139.34,333,74087.14
2024-01-27,ROKETSAN_Search,Competitor,Defense,France,58367,7126,1156.31,935,110431.03
2024-01-28,ROKETSAN_Search,Competitor,Defense,UK,106524,6895,1837.55,1280,154908.03
2024-01-29,ROKETSAN_Search,Competitor,Defense,Germany,100120,2580,1732.71,971,38941.95
2024-01-30,ROKETSAN_Search,Competitor,Defense,Turkey,26439,1848,286.58,381,79113.92
2024-01-01,ROKETSAN_Search,Remarketing,Defense,France,17723,2482,2393.73,575,57022.95
2024-01-02,ROKETSAN_Search,Remarketing,Defense,Turkey,109691,5873,2190.34,1732,381595.51
2024-01-03,ROKETSAN_Search,Remarketing,Defense,Turkey,77400,9917,815.5,424,65733.43
2024-01-04,ROKETSAN_Search,Remarketing,Defense,USA,42561,5459,1231.36,443,45972.61
2024-01-05,ROKETSAN_Search,Remarketing,Defense,France,98353,1962,1918.38,587,44544.96
2024-01-06,ROKETSAN_Search,Remarketing,Defense,UK,149053,20452,1553.25,5264,791002.57
2024-01-07,ROKETSAN_Search,Remarketing,Defense,France,72109,554,492.02,179,35181.04
2024-01-08,ROKETSAN_Search,Remarketing,Defense,Germany,94018,180,494.44,18,2743.6
2024-01-09,ROKETSAN_Search,Remarketing,Defense,UK,20241,661,1865.37,15,684.68
2024-01-10,ROKETSAN_Search,Remarketing,Defense,France,58395,6243,1078.59,1396,84342.25
2024-01-11,ROKETSAN_Search,Remarketing,Defense,Germany,87035,12807,2356.45,4884,215459.29
2024-01-12,ROKETSAN_Search,Remarketing,Defense,Turkey,42784,1369,1898.37,50,8832.15
2024-01-13,ROKETSAN_Search,Remarketing,Defense,Germany,118159,13974,1239.87,3621,427970.85
2024-01-14,ROKETSAN_Search,Remarketing,Defense,USA,136308,3809,895.67,227,20141.81
2024-01-15,ROKETSAN_Search,Remarketing,Defense,France,129567,17346,1684.47,372,27757.39
2024-01-16,ROKETSAN_Search,Remarketing,Defense,France,16360,111,550.84,13,2569.5
2024-01-17,ROKETSAN_Search,Remarketing,Defense,Germany,77876,5455,343.96,2037,393300.25
2024-01-18,ROKETSAN_Search,Remarketing,Defense,USA,35865,3194,1354.83,471,64790.3
2024-01-19,ROKETSAN_Search,Remarketing,Defense,Germany,20894,1706,2161.32,43,5295.42
2024-01-20,ROKETSAN_Search,Remarketing,Defense,UK,22411,1362,1460.61,414,76439.83
2024-01-21,ROKETSAN_Search,Remarketing,Defense,UK,77894,1967,1042.33,332,21138.93
2024-01-22,ROKETSAN_Search,Remarketing,Defense,France,122611,11937,265.92,867,69139.96
2024-01-23,ROKETSAN_Search,Remarketing,Defense,France,106975,8664,242.69,1270,244863.73
2024-01-24,ROKETSAN_Search,Remarketing,Defense,USA,89311,12845,461.93,4181,700215.27
2024-01-25,ROKETSAN_Search,Remarketing,Defense,France,135680,6433,2269.51,1431,148820.34
2024-01-26,ROKETSAN_Search,Remarketing,Defense,USA,63936,1764,408.79,202,12935.53
2024-01-27,ROKETSAN_Search,Remarketing,Defense,USA,21753,805,2380.67,321,43712.6
2024-01-28,ROKETSAN_Search,Remarketing,Defense,France,119677,10670,2167.4,2589,152661.46
2024-01-29,ROKETSAN_Search,Remarketing,Defense,Turkey,124924,14570,1596.89,2250,355656.25
2024-01-30,ROKETSAN_Search,Remarketing,Defense,Germany,134995,2511,810.5,462,15459.27
2024-01-01,TUSAS_Search,Brand,Defense,Germany,77255,1337,1629.43,92,15030.67
2024-01-02,TUSAS_Search,Brand,Defense,France,102789,7661,1471.81,3026,685607.7
2024-01-03,TUSAS_Search,Brand,Defense,UK,51345,2713,1532.26,1026,60476.28
2024-01-04,TUSAS_Search,Brand,Defense,Turkey,120101,3471,2036.87,703,172963.84
2024-01-05,TUSAS_Search,Brand,Defense,Turkey,134264,5734,145.9,1793,444613.54
2024-01-06,TUSAS_Search,Brand,Defense,France,139035,20062,438.93,3054,707110.26
2024-01-07,TUSAS_Search,Brand,Defense,UK,109156,12768,879.0,4897,180122.64
2024-01-08,TUSAS_Search,Brand,Defense,Germany,19278,1430,281.54,395,35128.56
2024-01-09,TUSAS_Search,Brand,Defense,France,41419,2810,249.68,289,66836.44
2024-01-10,TUSAS_Search,Brand,Defense,Germany,104749,2192,1507.85,86,8140.41
2024-01-11,TUSAS_Search,Brand,Defense,UK,88108,2173,1691.79,848,201908.33
2024-01-12,TUSAS_Search,Brand,Defense,France,26498,2726,1692.62,1041,110774.19
2024-01-13,TUSAS_Search,Brand,Defense,Germany,82967,3033,2380.36,699,166519.53
2024-01-14,TUSAS_Search,Brand,Defense,UK,52333,1935,2499.94,158,6693.22
2024-01-15,TUSAS_Search,Brand,Defense,Turkey,135087,17767,2096.04,4313,144456.11
2024-01-16,TUSAS_Search,Brand,Defense,Germany,36353,4972,972.96,332,21809.19
2024-01-17,TUSAS_Search,Brand,Defense,France,45395,5987,1122.3,1682,179919.11
2024-01-18,TUSAS_Search,Brand,Defense,USA,118444,9416,1893.36,3210,404488.22
2024-01-19,TUSAS_Search,Brand,Defense,France,64696,5150,2415.71,1921,438745.31
2024-01-20,TUSAS_Search,Brand,Defense,USA,98427,11193,2370.47,3609,465120.68
2024-01-21,TUSAS_Search,Brand,Defense,Germany,102105,8319,1342.28,663,138434.75
2024-01-22,TUSAS_Search,Brand,Defense,France,38280,2128,177.84,492,109064.75
2024-01-23,TUSAS_Search,Brand,Defense,France,28893,4306,2135.36,583,25577.32
2024-01-24,TUSAS_Search,Brand,Defense,USA,73510,7441,2268.0,603,127827.26
2024-01-25,TUSAS_Search,Brand,Defense,Turkey,60205,7471,2217.34,109,12900.35
2024-01-26,TUSAS_Search,Brand,Defense,UK,133598,12333,627.66,668,73049.37
2024-01-27,TUSAS_Search,Brand,Defense,Turkey,85541,1703,2105.98,665,66792.82
2024-01-28,TUSAS_Search,Brand,Defense,USA,38070,393,752.85,120,21793.94
2024-01-29,TUSAS_Search,Brand,Defense,USA,124974,14779,1557.6,649,19000.04
2024-01-30,TUSAS_Search,Brand,Defense,USA,41195,4575,2353.55,1246,179110.74
2024-01-01,TUSAS_Search,Generic,Defense,Turkey,77524,3973,787.82,97,7628.94
2024-01-02,TUSAS_Search,Generic,Defense,France,121829,2138,321.6,511,81385.07
2024-01-03,TUSAS_Search,Generic,Defense,Turkey,137102,18923,642.75,1176,106470.57
2024-01-04,TUSAS_Search,Generic,Defense,Turkey,94488,4021,1448.13,383,66827.2
2024-01-05,TUSAS_Search,Generic,Defense,Turkey,139228,11896,215.81,4309,635226.06
2024-01-06,TUSAS_Search,Generic,Defense,France,147267,746,1006.61,240,8350.86
2024-01-07,TUSAS_Search,Generic,Defense,UK,99858,4235,1880.93,731,147966.83
2024-01-08,TUSAS_Search,Generic,Defense,Germany,65209,1778,1940.18,340,18705.83
2024-01-09,TUSAS_Search,Generic,Defense,Germany,145134,11173,2043.1,1434,303773.29
2024-01-10,TUSAS_Search,Generic,Defense,UK,127444,6052,2038.17,258,48016.42
2024-01-11,TUSAS_Search,Generic,Defense,UK,11695,680,543.9,102,22878.89
2024-01-12,TUSAS_Search,Generic,Defense,Germany,83284,8524,1025.65,3339,491440.39
2024-01-13,TUSAS_Search,Generic,Defense,Germany,11599,1622,1634.91,292,30753.2
2024-01-14,TUSAS_Search,Generic,Defense,Turkey,89012,4556,354.96,753,92855.49
2024-01-15,TUSAS_Search,Generic,Defense,UK,117274,12749,880.64,1530,209067.96
2024-01-16,TUSAS_Search,Generic,Defense,UK,98297,13142,1322.23,676,127489.07
2024-01-17,TUSAS_Search,Generic,Defense,Turkey,114881,5993,1386.41,1315,63231.16
2024-01-18,TUSAS_Search,Generic,Defense,Germany,79500,5101,1142.49,1469,177567.01
2024-01-19,TUSAS_Search,Generic,Defense,UK,94155,7405,153.77,1444,235865.25
2024-01-20,TUSAS_Search,Generic,Defense,UK,73973,10557,2451.07,469,19643.72
2024-01-21,TUSAS_Search,Generic,Defense,UK,97239,8486,2012.69,2782,169693.69
2024-01-22,TUSAS_Search,Generic,Defense,Turkey,39428,5057,1711.32,897,29448.3
2024-01-23,TUSAS_Search,Generic,Defense,Turkey,63864,6081,937.27,2323,75002.0
2024-01-24,TUSAS_Search,Generic,Defense,USA,119944,12235,961.43,629,96949.28
2024-01-25,TUSAS_Search,Generic,Defense,France,98193,6601,820.24,1141,92606.55
